TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:01:22,0.00,-8D569C,-9CB8F7,DFA9F6,A3F209,64B5C7,259BD,
0:01:23,0.00,-5BD179,-9CBA36,DFA9E5,A3F096,526FC5,-25C5,
0:01:24,0.00,-962B2F,-9CB8E1,DFA9FA,A3F7B3,7B913D,22CBF,
0:01:25,0.00,-B1C19E,-9CBA28,DFA9F6,A40706,506AC7,-2F88,
0:01:26,0.00,-882E37,-9CBA35,DFAA09,A40F40,7A77DA,25B93,
0:01:28,0.00,-6F8A39,-9CBAEA,DFA9F1,A40AE3,77FC7F,-7AC43,
0:01:29,0.00,-834F44,-9CBA06,DFA9F2,A3FF38,57D88C,-2953,
0:01:30,0.00,-95DC09,-9CBB10,DFAA00,A40247,129FA1,-293B09,
0:01:31,0.00,-D72804,-9CBB00,DFA9F1,A40223,6A886F,1A400,
0:01:32,0.00,-6C6A42,-9CBBC0,DFAA06,A40371,-C01C97,B1AB93,
0:01:33,0.00,-583EE3,-9CBAAF,DFAA09,A40C25,822740,-5B1C0,
0:01:35,0.00,-6D091A,-9CBB11,DFA9F7,A40BC3,56F912,21E80D,
0:01:36,0.00,-67DF5B,-9CB9A2,DFA9F2,A40743,458A3E,A21BD2,
0:01:37,0.00,-67AA8C,-9CBB2B,DFAA14,A4050D,8C355F,-1266,
0:01:38,0.00,-773B52,-9CBA6C,DFA9ED,A40764,57C8B6,5C63,
0:01:39,0.00,-ACB0F0,-9CBB46,DFAA06,A4099B,53143F,-4A14,
0:01:41,0.00,-F69BD0,-9CBB63,DFA9F2,A40640,205A35,-2720,
0:01:42,0.00,-E6C17A,-9CBB7D,DFAA02,A40322,776A19,1FFF3,
0:01:43,0.00,-596B09,-9CBC79,DFAA09,A40A3E,7B1F32,20A0E4,
0:01:44,0.00,-7D5818,-9CBC04,DFA9F1,A404E7,5D7C48,2C6910,
0:01:45,0.00,-92E2A2,-9CBC4E,DFAA0A,A40421,-159376,51629F,
0:01:47,0.00,-A7D0CE,-9CBC00,DFA9EA,A406C6,792A33,-3B67,
0:01:48,0.00,-7E7422,-9CBB53,DFA9E3,A401E6,1B64E1,-2D0044,
0:01:49,0.00,-9C0563,-9CBBCB,DFA9F7,A40275,80A727,26B63,
0:01:50,0.00,-6F4728,-9CBBC6,DFA9F7,A3FD47,53C9DB,-2AF9,
0:01:51,0.00,-63A712,-9CBC78,DFA9F0,A3FC6B,67CAF6,A22D,
0:01:52,0.00,-69DCFF,-9CBC27,DFA9F5,A3F92A,559C77,-2F49,
0:01:54,0.00,-987F20,-9CBBA0,DFA9FA,A3FC98,5CC70C,-1BFF,
0:01:55,0.00,-9470A5,-9CBC67,DFA9F0,A40BD9,52C6C4,-29F4,
0:01:56,0.00,-855C88,-9CBC1D,DFA9F7,A409FC,5B0BE1,-22C4,
0:01:57,0.00,-765102,-9CBBB7,DFA9FE,A41341,531B82,-28D7,
0:01:58,0.00,-A77C3B,-9CBC4C,DFA9D8,A4131E,55424E,-2E82,
0:02:00,0.00,-9B4A89,-9CBB55,DFAA20,A409DA,74BB69,245BE,
0:02:01,0.00,-D2536B,-9CBBD5,DFA9FD,A40917,51940C,-202B,
0:02:02,0.00,-6E2FB1,-9CBC6F,DFA9FF,A40822,783814,25CE4,
0:02:03,0.00,-9A44DF,-9CBCC2,DFAA00,A408E3,77BF89,1D7A6,
0:02:04,0.00,-848691,-9CBDB2,DFA9F7,A40E4F,598EFC,-2A9F,
