TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:02,0.00,-5AF,-C8,8782BA,9EAFAF,55AE97,-2451,
0:00:03,0.00,-58E,-CB,-6C4BBC,9EB940,61475F,-405C,
0:00:04,0.00,-587,-C7,F90A8,9EBCD5,72E9A2,ACA3,
0:00:05,0.00,-573,-D7,-3A9295,9EB89D,50F8EC,-31E0,
0:00:07,0.00,-581,-AC,-84165A,9EC097,50BC43,-1,
0:00:08,0.00,-554,-CA,3597B8,9EC6C3,70C6D2,16F08,
0:00:09,0.00,-53F,-CF,-A25BB,9EC4EE,551C2A,-3070,
0:00:10,0.00,-597,-E4,-492212,9EC521,5B6B3A,C086,
0:00:11,0.00,-5A5,-D3,80C25,9EBC38,49C14F,-2EEF,
0:00:12,0.00,-52E,-C7,-6AB3E7,9EC242,5A3481,10B,
0:00:14,0.00,-512,-D3,505792,9EC000,63D6C7,6098,
0:00:15,0.00,-503,-BE,-470F9F,9ECC73,5C6D93,-1F6E,
0:00:16,0.00,-500,-D2,-49CC49,9ECD06,562527,-43B2,
0:00:17,0.00,-500,-BD,7DE7C4,9ECA8E,74A564,1EF32,
0:00:18,0.00,-521,-BE,12A7A4,9EC739,5547E4,-3070,
0:00:19,0.00,-52E,-D0,-4C1A74,9ECA90,5AE0B9,-2E02,
0:00:21,0.00,-541,-BA,3BC0C6,9ECD2D,6E5D27,C720,
0:00:22,0.00,-4CB,-B5,-9CD7A6,9EC833,51F6BE,-1,
0:00:23,0.00,-4CE,-AC,5620CE,9ED216,5726C3,-28E1,
0:00:24,0.00,-4B3,-C5,-13F5BA,9ED018,5A1FFE,E4,
0:00:25,0.00,-500,-D7,A7944,9EC794,5317B7,-284B,
0:00:26,0.00,-42F,-B0,782F48,9ECD39,7A3886,21576,
0:00:28,0.00,-492,-B5,6DC2D2,9EDC45,59446D,224B7,
0:00:29,0.00,-48F,-AD,1BB5A8,9EDCE0,51F440,-2DAE,
0:00:30,0.00,-429,-BB,-291C86,9EDBCB,74BD5F,1A549,
0:00:31,0.00,-496,-A3,673CD,BC5A96,CB7D62,4978B3,
0:00:32,0.00,-451,-C4,-191CF7,9AB894,6F53F3,7FF,
0:00:33,0.00,-444,-BC,-CBD42E,1C5848,532E62,668F,
0:00:35,0.00,-4B1,-B6,69A99,4D19,49F58A,1D1A,
0:00:36,0.00,-47D,-A3,-29C9C9,3C55,2BE872,-2E8B,
0:00:37,0.00,-463,-8F,69806C,32BB,4E37C6,-2E0F,
0:00:38,0.00,-437,-AC,13CB42,2C71,3E7E87,-2CD5,
0:00:39,0.00,-46E,-AB,5E96E3,2A95,27B9EE,-2908,
0:00:40,0.00,-474,-AA,-55528E,2E6,51F7D7,247ED,
0:00:42,0.00,-41B,-85,35368D,-749,4DEBB4,1DF69,
0:00:43,0.00,-45D,-A9,3075EF,-8DF,386EC3,E4,
0:00:44,0.00,-44F,-AA,6BE418,-92E,53E616,25E9E,
0:00:45,0.00,-42B,-AE,-483557,-94A,36C637,-2387,
