TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:04,0.00,7E75F9,-52C542,DFA9FE,A2CD6F,0.00,7E7349,-52D9C1,DFAA12,A2C
0:00:04,0.00,7E73B1,-52D296,DFA9F4,A2CA4B,55203F,-2538,
0:00:05,0.00,7E73F3,-52D652,DFA9EC,A2CF0A,536246,-2748,
0:00:06,0.00,7E7381,-52D564,DFAA00,A2D4A6,5318E2,-27FA,
0:00:08,0.00,7E766E,-52C1D5,DFAA06,A2D933,553A8C,-3260,
0:00:09,0.00,7E71EE,-52F75A,DFA9F9,A2D093,5251AD,-2328,
0:00:10,0.00,7E7326,-52BB3F,DFA9EE,A2D835,4D77D0,-23C9,
0:00:11,0.00,7E7179,-52F33A,DFA9F9,A2D14D,4F140C,-2530,
0:00:12,0.00,7E7559,-52BDF3,DFA9ED,A2D50F,53D919,-249C,
0:00:13,0.00,7E7441,-52F94B,DFA9F6,A2CC7A,55947F,-27FA,
0:00:15,0.00,7E73C0,-52EBBD,DFA9F3,A2CEF4,53526B,-29CB,
0:00:16,0.00,7E7540,-52AD4C,DFAA04,A2D154,50F5E3,-3D16,
0:00:17,0.00,7E6FF7,-52F3FA,DFA9F4,A2D271,6E3345,C81D,
0:00:18,0.00,7E72C6,-52B0A5,DFA9FB,A2C9C5,4D16C0,-27A7,
0:00:19,0.00,7E70D2,-52F462,DFA9FB,A2CFE4,51CAC5,-2AA7,
0:00:20,0.00,7E71A7,-52AEC1,DFAA00,A2D690,5413CE,-2920,
0:00:22,0.00,7E73AD,-52CFA0,DFA9F6,A2CFB6,54C6EB,-2115,
0:00:23,0.00,7E7641,-52CF59,DFA9F8,A2CBB0,570BF4,4014,
0:00:24,0.00,7E79B8,-52DF4A,DFA9E4,A2CA79,539772,-23C4,
0:00:25,0.00,7E76D1,-52CD80,DFA9EA,A2D215,57066C,-20E8,
0:00:26,0.00,7E74A0,-52ED35,DFA9EC,A2CAFF,4E2928,-4E91,
0:00:27,0.00,7E733C,-52BD9D,DFA9F7,A2D0E3,50B46A,-2BC0,
0:00:29,0.00,7E739E,-52AED5,DFA9FF,A2D3B0,555F0C,-347C,
0:00:30,0.00,7E74E5,-52EC27,DFAA02,A2CF5D,54E86B,-2D8B,
0:00:31,0.00,7E746B,-52C171,DFAA08,A2D168,5751D1,-3315,
0:00:32,0.00,7E74EC,-52E2BB,DFA9F9,A2CB85,56FC7E,-3050,
0:00:33,0.00,7E725B,-52CD22,DFAA02,A2D1BE,4E2A90,-2A6D,
0:00:34,0.00,7E77A6,-52DB27,DFA9EA,A2CBE5,6DBCA9,11934,
0:00:35,0.00,7E778A,-52E00C,DFA9FE,A2CCDD,506FBA,-2F2F,
0:00:36,0.00,7E7794,-52DE9F,DFA9F7,A2CB87,58C9E4,1AA8,
0:00:37,0.00,7E74F5,-52F626,DFA9F1,A2D1A0,51D437,-361A,
0:00:38,0.00,7E75DB,-52CAB2,DFAA0A,A2D4B4,515F30,-2DB8,
0:00:39,0.00,7E763A,-5300E8,DFAA02,A2D395,5198D1,-2A16,
0:00:40,0.00,7E789F,-52C4B1,DFA9FF,A2DDD0,54748E,-310C,
0:00:41,0.00,7E75B5,-530C06,DFAA0F,A2DD74,552EF4,-27CC,
0:00:42,0.00,7E73F4,-52BC02,DFAA04,A2DA3F,55825F,-1DA2,
0:00:43,0.00,7E71E9,-52F444,DFAA0B,A2DC18,47D2CE,-2333,
0:00:45,0.00,7E73FD,-52BD4A,DFA9F1,A2DAAE,51569B,-23AC,
0:00:46,0.00,7E756C,-52E272,DFAA03,A2D9E2,75AD48,21936,
0:00:47,0.00,7E74E8,-52ECE7,DFAA02,A2D99F,731093,15D8C,
0:00:49,0.00,7E7429,-52C327,DFA9F8,A2DA9D,4DC4B6,-2367,
0:00:50,0.00,7E71D4,-52FF28,DFAA0B,A2DB66,538B76,-4EF1,
0:00:51,0.00,7E742E,-52BA71,DFAA06,A2DC17,536EB5,-258B,
0:00:52,0.00,7E7526,-52E7B4,DFA9FF,A2DBA3,505394,-26BA,
