TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:02:30,0.00,757CCE,7D9FBB,2117B,57BA8,-E1A7D,17E47,
0:02:32,0.00,757DBC,7D9D2E,3BD26,-B96E,6A48A,-603E9,
0:02:34,0.00,757BBD,7D9C65,-49E70,D7790,C02F,9A427,
0:02:36,0.00,757EEB,7D9D4D,1D5D0,12297B,-1A06B,-13D539,
0:02:38,0.00,757F0C,7D9CCA,327,E3F9D,6B32C,8C5D2,
0:02:40,0.00,757C9E,7D9E9E,3F2B3,CC1E2,-1B0EA,-2B0ED,
0:02:42,0.00,757A59,7D9E5E,-137AF,461CB,873A6,-75A4B,
0:02:44,0.00,757765,7D9F53,-CC4B,A9020,-93D7F,-702F8,
0:02:46,0.00,7577EA,7D9F2B,-4DEC,56B78,-366D,-3AB31,
0:02:48,0.00,757A9A,7D9F5D,-61257,-2EBFC,-1419B,-62F1D,
0:02:50,0.00,7578CB,7D9F61,B6,13EBA3,-2E444,287F2,
0:02:52,0.00,757C0E,7D9EA1,45AFF,62B38,46A9A,10BDBE,
0:02:54,0.00,758161,7D9EB8,11F9B,4F9E6,-2A300,-1DFEB,
0:02:56,0.00,757EEA,7D9F3C,1C334,3EC28,A4494,-8E905,
0:02:58,0.00,758153,7D9F6A,-1EA6E,979A6,EA5AE,CEB83,
0:03:00,0.00,75829B,7D9F7E,-2AB89,-325EE,-3D496,-A105A,
0:03:02,0.00,757E1F,7D9F83,-5C99A,2A9EB,314DC,1714E,
0:03:04,0.00,758111,7D9F1A,47E22,C0211,-6CBA7,-6588F,
0:03:06,0.00,758231,7D9F62,-210A5,531F6,-4EE62,1C7CC,
0:03:08,0.00,758253,7D9ED7,-909D,35149,5A171,-FA54,
0:03:10,0.00,758287,7D9F06,-3E22,7ADEE,15D3,6A751,
0:03:12,0.00,7581AF,7D9DD2,34208,-850D,-44C66,-6DE4E,
0:03:14,0.00,758257,7D9EA5,77BE,C276A,-D79C,C789C,
0:03:16,0.00,7585C2,7D9DDC,-22670,-376E3,8BCAC,-AC846,
0:03:18,0.00,758239,7D9CD6,-1C0A3,72E0C,-3B87D,-396A,
0:03:20,0.00,7587F5,7D9D77,-2CDEE,55608,510A,20E8F,
0:03:22,0.00,75842D,7F30A8,-335A3,1A5C4,5F824,-87607,
0:03:24,0.00,758562,7E457F,-620A9,-8DB1,-93CD4,-B78C7,
0:03:26,0.00,59A1B0,4704B8,-1DD71,-1E881,65A24,-84007,
0:03:28,0.00,47ECB3,495AC6,-2AD10,-2FDF3,579A8,-A110A,
0:03:30,0.00,8DD410,7C53BF,3358A,10BDF0,-9EFC,-2A183,
0:03:32,0.00,A3112B,C62C29,2DCD8,BB776,-4DCA6,D60A9,
0:03:34,0.00,B13800,EA59FE,-E37,61B45,-4776A,-34236,
0:03:36,0.00,95D59A,D52B51,DA89,59596,-29CFD,4EEE9,
0:03:38,0.00,980BFF,C864C3,26D39,75DFF,68EB8,-2F20F,
0:03:40,0.00,9804F4,C818F7,-15C20,12F2B,602C,-77613,
0:03:42,0.00,97FC4F,C80B94,-52B0,38E67,41580,29A65,
0:03:44,0.00,9801EF,C80FE8,-30EE,-1C0CB,84B65,71A27,
0:03:46,0.00,97FFDD,C80C22,-328,6835C,-7DEC3,199B2,
0:03:48,0.00,97FD5A,C80E4F,29ABF,E189,5218B,1D428,
0:03:50,0.00,97F9AD,C81A50,-395C9,-311E7,-490F1,-4071,
0:03:52,0.00,97F83F,C80983,44AAD,1207D,5971E,-DC406,
0:03:54,0.00,97F551,C80F29,4F4C6,8B530,-23488,-BB18,
0:03:56,0.00,97F819,C813B2,6FDFC,418D4,78088,4414,
0:03:58,0.00,97F962,C80901,18C8,-18B4,-D3B70,-87CF,
0:04:00,0.00,97FB3D,C80696,-B0DF,-1EA56,-F8D5B,-B46F4,
0:04:02,0.00,97F28A,C8037A,64299,9798C,-53AD5,-60447,
0:04:04,0.00,97F6E3,C80098,3E297,-49256,9A3A6,-62DC4,
0:04:06,0.00,97F4EF,C801F4,-2DABF,C7D5F,F665D,64CB1,
0:04:08,0.00,97F6E4,C803E0,600B,63FA5,5B775,-1453F,
0:04:10,0.00,97EF28,C80415,2E788,3B9E5,60145,-5DDBC,
0:04:12,0.00,97F091,C80407,-222B0,9C33A,38F49,-A78CB,
0:04:14,0.00,97EF1C,C80393,CF7,2B185,A89BA,7D716,
0:04:16,0.00,97F0A0,C8000E,2616A,-1A9AE,6A0AB,-8631F,
0:04:18,0.00,97F4BB,C801C9,-10FA7,-47F06,107AF,-914DC,
0:04:20,0.00,97F107,C8021C,-41B48,844C7,AB628,-9184,
0:04:22,0.00,97F4D7,C7FD39,1F898,3D9F1,9572,-59EAD,
0:04:24,0.00,97F4B4,C7FEB1,-3C7BD,359F7,-B8EAE,-5CB6D,
0:04:26,0.00,97F392,C7FB3F,-4BEB3,-74A45,17A8C,39239,
0:04:28,0.00,97F4CD,C7FB96,2356D,-3B47E,-1581,-21AA9,
0:04:30,0.00,97F64C,C7FB55,15A24,88600,-44287,-2DBCC,
0:04:32,0.00,97F422,C7F8A0,1C59A,D8721,3DD54,EE1C,
0:04:34,0.00,97F5FD,C7F8C2,-26A21,683F0,-AEB3,-380D4,
0:04:36,0.00,97F58B,C7F810,-14A79,9CA18,-216AF,A0BC,
0:04:38,0.00,97F2E4,C7F771,7844,-6CB3E,1C19B,-54CAC,
0:04:40,0.00,97F20D,C7F7C2,582B7,1D19F,-C835C,-3716C,
0:04:42,0.00,97F2D0,C7F5D4,-21A97,17134,-BD15,-E96DF,
0:04:44,0.00,97F23C,C7F64F,-4314,-26B40,A0960,-69DC,
0:04:46,0.00,97F266,C7F5E1,23F26,-400FA,-7E6F8,1DC91,
0:04:48,0.00,97F146,C7F738,1AFEB,-111E6,16D01,C9AB,
0:04:50,0.00,97F3CD,C7F49E,14B6,DC7D,-44054,-1A306,
0:04:52,0.00,97F508,C7F65B,3CF1C,FC255,-44310,1A858,
0:04:54,0.00,97F368,C7F7DA,-2D812,3CA75,54141,CD9F5,
0:04:56,0.00,97F62A,C7F6E2,2978F,-D8C03,152C1,-4C133,
0:04:58,0.00,97F2AD,C7F670,-16697,43DC,-6B60B,B2337,
0:05:00,0.00,97F579,C7F5D9,-340E7,55306,605B0,-7EFFB,
0:05:02,0.00,97F2D2,C7F572,-739E9,-51EB1,-68FDE,1A504,
0:05:04,0.00,97EF92,C7F61C,5C42D,3AFC5,-5C93,-64CBF,
0:05:06,0.00,97F337,C7F56F,-279DD,-28348,C4300,63234,
0:05:08,0.00,97F8BB,C7F4BD,-4291,9B0B0,-6667A,33BE,
0:05:10,0.00,97F431,C7F4E3,6C368,56415,-7792,-1BFA6,
0:05:12,0.00,97F502,C7F709,6CE98,1049D5,F1CF2,-91604,
0:05:14,0.00,97F2ED,C7F610,43255,FD32B,565EE,-6F620,
