TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:00,0.00,7E68BF,-52D653,DFA9F4,A2AFAD,6E799,424E6E,
0:00:03,0.00,7E6F64,-52E83B,DFAA0C,A2B0C1,2FBBE2,-23E186,
0:00:04,0.00,7E6CD1,-52A378,DFAA2B,A2ADF6,384AA2,-2657CC,
0:00:05,0.00,7E7046,-52E0C8,DFAA0E,A2A9E7,1D0C08,554126,
0:00:06,0.00,7E6F24,-52C413,DFAA04,A2ADA3,339DEC,12DD3C,
0:00:07,0.00,7E6FF0,-52B1BD,DFAA0C,A2AA41,11DB10,-198845,
0:00:08,0.00,7E7049,-52E174,DFA9F9,A2ADB6,726F9E,4B37,
0:00:10,0.00,7E7277,-52EE28,DFAA16,A2AF2B,535F02,-2705,
0:00:11,0.00,7E7447,-52AF98,DFAA13,A2B23B,582F89,-18EB,
0:00:12,0.00,7E7145,-52BD72,DFA9E6,A2AD93,-14772,14AD2E,
0:00:13,0.00,7E71E1,-52E24A,DFA9E9,A2ADF2,5A203,13C6FF,
0:00:14,0.00,7E72D6,-52A2F9,DFA9FB,A2B4AE,3D6BF3,48CE52,
0:00:15,0.00,7E7123,-52D4B0,DFAA00,A2ADC3,-65AE80,54D6CD,
0:00:17,0.00,7E741E,-52CD2A,DFAA10,A2A8B3,76DE99,-1FE5,
0:00:18,0.00,7E7232,-52E299,DFAA0E,A2AE51,582392,AC,
0:00:19,0.00,7E745C,-52A9A9,DFAA0A,A2AAAB,5168E7,-2AED,
0:00:20,0.00,7E77FF,-52DD3D,DFAA0D,A2B777,51FF37,-2595,
0:00:21,0.00,7E7751,-52D7E7,DFAA00,A2B539,5280B6,C1,
0:00:22,0.00,7E77AA,-52A88B,DFAA07,A2B50E,61C49C,-938,
0:00:24,0.00,7E78F0,-52AFE8,DFAA08,A2BA9A,76C251,1D1EA,
0:00:25,0.00,7E798B,-52CD43,DFA9FF,A2B16A,51EFF5,-3149,
0:00:26,0.00,7E7916,-52E3F6,DFA9FF,A2B023,5955C8,53A2,
0:00:27,0.00,7E75E7,-52ADC7,DFA9FE,A2BFAC,52644F,-26C5,
0:00:28,0.00,7E7A19,-52E156,DFA9FB,A2BB90,558AB5,-298F,
0:00:29,0.00,7E7AB5,-52E37B,DFA9F6,A2BD0A,51BB93,-26A3,
0:00:31,0.00,7E7B48,-52F975,DFA9FC,A2BDF7,544EBA,-2ADD,
0:00:32,0.00,7E7BE1,-52BF7D,DFA9F9,A2BA98,54DA45,510,
0:00:33,0.00,7E78F3,-52BB15,DFA9FB,A2BCCE,50FE7B,-2A9F,
0:00:34,0.00,7E7D92,-52F9ED,DFA9E1,A2ADB1,5112E2,-22BA,
0:00:35,0.00,7E7CA0,-52BE35,DFAA0A,A2B3B2,562977,-20A3,
0:00:36,0.00,7E79D9,-52C773,DFA9FE,A2B6AE,4EDE37,-26AF,
0:00:38,0.00,7E7C69,-52AD0F,DFA9FE,A2AB81,4D8546,-5C3A,
0:00:39,0.00,7E7BE3,-52FBF8,DFA9FC,A2A8E7,530055,-26B7,
0:00:40,0.00,7E8090,-52C922,DFAA01,A2B6D5,541430,-2E59,
0:00:41,0.00,7E7D2D,-52CB39,DFAA01,A2B6B7,58D846,595F,
0:00:42,0.00,7E7C72,-52F269,DFA9FF,A2B722,4C61BA,-27EF,
0:00:43,0.00,7E7CA5,-52B2EE,DFA9FC,A2B4C7,5B4756,-25E5,
0:00:45,0.00,7E7F13,-52B9D0,DFA9FA,A2B42F,743000,1B704,
0:00:46,0.00,7E7ECC,-52D936,DFAA04,A2B8AC,4EAC5D,-2C84,
0:00:47,0.00,7E7C86,-52E148,DFA9F7,A2BA6B,5F0485,-25D6,
0:00:48,0.00,7E7B64,-52AE08,DFAA01,A2BC9C,4DF4F9,-2881,
0:00:49,0.00,7E7B21,-52F776,DFAA01,A2C266,595C75,-2AE1,
0:00:50,0.00,7E8028,-52C4FB,DFA9FD,A2C51E,5A339E,-2D23,
0:00:52,0.00,7E7E3E,-52CA6B,DFAA06,A2B97B,53B9F7,-2C1D,
0:00:53,0.00,7E7A87,-52C03A,DFA9ED,A2B804,58688E,53C1,
0:00:54,0.00,7E802D,-52F790,DFA9E7,A2B6C4,4D9DFF,-2A77,
0:00:55,0.00,7E7F69,-52B601,DFA9FE,A2C088,5928B7,-2798,
0:00:56,0.00,7E7F59,-52F2BD,DFA9F1,A2C0E9,66405D,4A88,
0:01:03,0.00,7E7CBD,-52CFE3,0.00,7E7D63,-52D3F0,DFA9FE,A2C3C1,70D726,AD1
0:01:03,0.00,7E7FA2,-52E085,DFAA03,A2C2D0,5FFC7E,-2BC0,
0:01:04,0.00,7E829A,-52B546,DFA9EA,A2C152,640481,34CB,
0:01:05,0.00,7E7D1A,-52F599,DFA9EF,A2B93A,4E0EB2,-278E,
0:01:07,0.00,7E7D57,-52F3BC,DFA9E7,A2BE43,516E4D,-3C3C,
0:01:08,0.00,7E7ABB,-52B251,DFA9F9,A2C27D,5BBCAE,3FB,
0:01:09,0.00,7E79A1,-52FC29,DFA9EB,A2C1F1,4C2A8D,-29E0,
0:01:10,0.00,7E7AEA,-52BD81,DFA9F5,A2C0E1,58BE10,-2034,
0:01:11,0.00,7E7AF1,-52F1EB,DFA9F2,A2BC39,552AB2,821FBF,
0:01:12,0.00,7E7C83,-52CB3C,DFAA09,A2B69C,8C0E40,-4C12,
0:01:14,0.00,7E8052,-52BE1E,DFA9FE,A2BF46,56BD06,-1509,
0:01:15,0.00,7E832D,-52FA67,DFAA02,A2C4C9,53D48D,-304E,
0:01:16,0.00,7E7F4C,-52C454,DFAA01,A2C044,4FDF3B,-2461,
0:01:17,0.00,7E7EBF,-52F786,DFA9FE,A2C384,60D92C,-3225,
0:01:18,0.00,7E7DC5,-52BCF3,DFAA0E,A2C33A,517081,-4421,
0:01:19,0.00,7E7BC0,-52FCE3,DFAA02,A2BDE1,768645,176CF,
0:01:21,0.00,7E7FAF,-52FD0B,DFA9F1,A2C8DD,73EEF1,15AB8,
0:01:22,0.00,7E7933,-52B319,DFA9FA,A2B24A,4FEC41,-26F4,
0:01:23,0.00,7E796C,-52F770,DFAA05,A2A79F,59F9CA,-3D19,
0:01:24,0.00,7E780A,-52B13D,DFA9FF,A2AFE3,5186E9,-2237,
0:01:25,0.00,7E796C,-52F886,DFAA0B,A2A7E3,5AC76D,-1B41,
