TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:00,0.00,E5B519,-B61F42,-373,-386F,8D5A6,-46EDF,
0:00:00,0.00,E5B519,-B61F42,-373,-386F,8D5A6,-46EDF,
0:00:02,0.00,E5B6A9,-B61FB1,8DAC4,-10D7E,2609A,-79229,
0:00:03,0.00,E5B5CD,-B62086,5035,DF2FF,35A64,-67B49,
0:00:04,0.00,E5B890,-B62150,26F2B,46061,2055B,-44D15,
0:00:06,0.00,E5B8D6,-B620FE,1E8EF,-48AF2,460F5,-203FC,
0:00:07,0.00,E5B6E8,-B62105,1F5B0,-A8DD,20289,-CE0F,
0:00:08,0.00,CC2BE8,-B61DC7,2BC2,CA76D,E3EDF,-2EFD7,
0:00:09,0.00,BE4A6C,-B62045,6B742,8F1E3,2D39,-A5D18,
0:00:10,0.00,BE01A6,-B62136,5E48D,16708F,2378A,-AAF13,
0:00:11,0.00,BDFAF9,-B620CB,-11BE6,41FA9,3D5BD,BEB77,
0:00:13,0.00,BDF7D9,-B62052,2B193,-3A089,10FE90,-3A4F9,
0:00:14,0.00,A66451,-B61DFA,48022,33C1D,-15424,-26820,
0:00:15,0.00,906E7B,-B61E61,52D14,84768,54596,-6DD63,
0:00:16,0.00,847277,-B61E3A,64A0,44F01,DBFB,4BA35,
0:00:17,0.00,5C6B12,-B61FD3,2BA8F,650D,FBD69,-26249,
0:00:18,0.00,5C820B,-20FD1E,-C65E1,119765,-E5E84,BFBA5,
0:00:20,0.00,5C738D,-5AE407,F629,6F0F5,-D897B,-91300,
0:00:21,0.00,5C71B4,-65010E,792D7,556B2,-BB39,-86659,
0:00:22,0.00,5C6FB2,B626E4,18531,6A343,11AB5,5FDB7,
0:00:23,0.00,5C7237,B62AF4,-10AC3,69D31,4A9A4,-39833,
0:00:24,0.00,5C71C1,B62A60,544DB,250B3,-B2717,-951FA,
0:00:25,0.00,5C71F3,B62B46,-1FAE5,4DC87,-41874,C1351,
0:00:27,0.00,5C7153,B629D1,2293,-3B09E,-4D7EE,6B2C4,
0:00:28,0.00,5C7365,B62A8B,-4A505,61984,383ED,576D1,
0:00:29,0.00,5C76ED,B63EFA,-22876,A3D61,ACF73,10F4B,
0:00:30,0.00,5C72DB,72295B,999E0,11B776,89C40,-22B69,
0:00:31,0.00,5C7711,189783,28AC9,-60F2B,5D9AB,21A7E,
0:00:32,0.00,5C74FA,AF7CC,-61E1B,101650,-191AB,7570,
0:00:34,0.00,-4F8D6,76EE7,-6689,14C1ED,-1715F,-B5ACE,
0:00:35,0.00,-4F241,76B34,-25398,6D1D2,-527FA,-22726,
0:00:36,0.00,-1C6DD,76B75,1356D,9753B,551BD,-B9646,
0:00:37,0.00,-1C99A,76B6C,-1A363,-5BEEE,1F3BC,-54FD0,
0:00:38,0.00,-1C823,76A01,-4FC91,306EF,-1BA03,-11911,
0:00:39,0.00,-1CB9A,7803D,16110,F8EF1,109781,2D7E1,
0:00:41,0.00,-1CBA2,127923,3A79D,1A097,7FBAE,78BDC,
0:00:42,0.00,-1CB91,1E9750,-3B95B,B9F72,DCB8A,A0EEA,
0:00:43,0.00,-1CCAC,30CEEF,-4054,127F3C,38BA5,-58369,
0:00:44,0.00,-1C94C,5BF3B4,46644,A26B6,A8AA5,-62AD1,
0:00:45,0.00,-1CC72,656C71,-1E7F6,-1E05E,-3B124,783F3,
0:00:46,0.00,-1CC1D,CD0A47,36775,D3C65,-5BC7B,EC6,
0:00:48,0.00,-1CB38,D83B43,-2F9FA,12FAB5,-3AEBC,490C2,
0:00:49,0.00,-1CBFE,D82F33,-1431A,FCBAC,-AF7D,DB344,
0:00:50,0.00,-1CC04,D83812,-29BD2,47E60,35162,-15C36,
0:00:51,0.00,-1C8C5,D81C33,4CF9,5CC8F,478C0,-8434D,
0:00:52,0.00,-1CC93,D81A7D,-37FBA,79039,1F0A3,90975,
0:00:53,0.00,-1CA16,D584ED,74061,170B2,83C73,2E7D8,
0:00:55,0.00,-1CAEF,D81D2F,DCA2AC,-11125,ED6C,-1009F,
0:00:56,0.00,-1C8C7,D80C6C,DCA146,40229,-2C126,-D44C,
0:00:57,0.00,-1C972,D80FF2,DCA0E0,5FBDF,F0758,2C349D,
0:00:58,0.00,-1CC6E,-19C6B1,DCA793,CF0C9,2EAA7,47263,
0:00:59,0.00,-1CBFE,-D809F5,DCA2B9,212BC,-7C025,3CBF6,
0:01:00,0.00,-1CA48,-D7F1A0,DCA11D,-2E764,-230CB,44977,
0:01:02,0.00,-1C9E6,-D7E942,DC9FB8,52148,-16813,-E0BCF,
0:01:03,0.00,-1C765,-D7E64A,DCA1AA,3F5B9,1CC51,-10064,
0:01:04,0.00,-1C9CC,-D7E5BC,DCA0DD,-26571,-41DE,-E4A06,
0:01:05,0.00,-1CA5D,-D7E52E,DCA13D,5C127,187EE,44F95,
0:01:06,0.00,14A23A,-D7D827,DC9F82,-15874,75611,B1615,
0:01:07,0.00,2C9EF7,-D7D598,DC9EDC,9DB64,-E69E,5AC62,
0:01:09,0.00,378E1A,-D7D2B6,DC9F22,F1863,53A43,-31ECF,
0:01:10,0.00,3789A2,-D7CE20,DC9DEB,-3755E,-6A157,-C8D78,
0:01:11,0.00,379CB9,-D7CE16,DC9E84,44840,63F4E,6E742,
