TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:00,0.00,AC7FAF,868DF9,-24C1F2,BFD032,88F56,-B3607,
0:00:02,0.00,AC80A4,868DCE,-1E597E,C00128,-2B015,-10819,
0:00:03,0.00,AC7C97,868E1A,-1D933A,BFD745,82E0,1D30E,
0:00:04,0.00,AC7B50,868DD5,-21FBB9,BFDE93,8D23F,2C18E,
0:00:05,0.00,AC7C5E,868D8C,-15FCC5,BFDDA2,-43F15,-3BCF8,
0:00:07,0.00,AC7E47,868DC9,-27E17B,BFD9AE,-B496,-1195DB,
0:00:08,0.00,AC7F17,868D75,-212E33,BFDCCB,4060E,-B2242,
0:00:09,0.00,AC7B08,868C63,-258B15,BFF434,-881C8,67017,
0:00:10,0.00,AC7D81,868D67,-20B4FE,BFF393,-11A114,-39533,
0:00:11,0.00,AC93B7,868DCB,-1DEEC4,BFD8F3,-13EF22,-30895,
0:00:13,0.00,AC8D1A,868DAB,-1C970B,BFCF4C,392A7,9899D,
0:00:14,0.00,AC80FE,868DF2,-2AE7BD,BFEE32,-138EA,-817CB,
0:00:15,0.00,AC7F04,868EE5,-226106,C00012,-781FE,83799,
0:00:16,0.00,AC7FEF,868DC6,-2092DB,BFFD71,-B8E5F,9F57C,
0:00:17,0.00,AC7D5F,868E37,-231875,BFF4B3,-2A466,-97DDE,
0:00:18,0.00,AC7B21,868EC7,-1B6FE5,BFEAE3,-7F42B,-68D10,
0:00:20,0.00,AC78B4,868D99,-1AEBD2,BFDB54,-26E56,-24A62,
0:00:21,0.00,AC7600,868E33,-20E220,BFE2E3,-6221D,-A743B,
0:00:22,0.00,AC734D,868E0B,-267271,BFD700,6009,139798,
0:00:23,0.00,AC7752,868CE0,-1E58E6,BFE6A0,-10601,-2644B,
0:00:24,0.00,AC743B,868E9B,-1E4002,BFE582,-12E57C,-F4A9E,
0:00:26,0.00,AC7187,868F91,-209F8F,BFCFAA,3D3B0,D1016,
0:00:27,0.00,AC7389,868E6B,-19D1AF,BFBBF0,7F7D,-97ED,
0:00:28,0.00,AC70F6,868DCA,-21B7E6,BFBCCE,-54BC4,71AD0,
0:00:29,0.00,AC7489,868D56,-25015E,BFB5C2,9E781,-42AE5,
0:00:30,0.00,AC7214,868D19,-1D3CED,BF8AD6,51CFE,A18EA,
0:00:31,0.00,AC71D3,868D4F,-1D4FAA,BF888D,-C7A35,-6C105,
0:00:32,0.00,AC6BBD,868CB9,-1FE064,BF6F9A,A7180,-12FA37,
0:00:33,0.00,AC70EF,868B67,-1DE037,BF68EA,B8FF1,-733DD,
0:00:34,0.00,AC6FCF,868CFE,-1CCF7A,BF6C8B,-421C6,9C1C2,
0:00:35,0.00,AC75C8,868E0A,-27005E,BF51B7,DAB2A,AF40B,
0:00:36,0.00,AC72C3,868EF1,-217DA4,BF53D1,20ACE,-284DB,
0:00:37,0.00,AC716C,868D98,-25A3FC,BF6169,-E1335,-E4CBC,
0:00:38,0.00,AC6EA3,868DC5,-1D237C,BF5E13,410C,-8C22A,
0:00:39,0.00,AC6FB6,868D15,-213551,BF4FDC,-8A14B,-829D1,
0:00:40,0.00,AC6F16,868DB2,-1EC164,BF496D,58A97,1AD14,
0:00:41,0.00,AC720E,868C66,-1CCA6A,BF4B59,-8BF76,623D,
0:00:42,0.00,AC6E93,868CC3,-24FAE3,BF43F4,BDB2E,-3F1CC,
0:00:43,0.00,AC6D17,868C45,-1EA01D,BF4C03,-102EF1,-A57C8,
0:00:45,0.00,AC6FE4,868CDA,-20ECEA,BF39D3,-DDCA,-96CA2,
0:00:46,0.00,AC7106,868D12,-22F7B6,BF35F0,8EB99,-1EC8,
0:00:48,0.00,AC70ED,868C29,-1989B4,BF30A7,E2109,-7A195,
0:00:49,0.00,AC6EB5,868BE4,-1C460C,BF2E4A,1A903,-C42DA,
0:00:50,0.00,AC6E54,868C32,-20E79F,BF421B,-C19F1,26EF,
