TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:00,0.00,7E4F75,-5282C1,DFAA09,A2A5B1,86EAC,-1CC652,
0:00:01,0.00,7E4FA9,-52CB5A,DFAA02,APower output set to 1 watt.
0:00:02,0.00,7E56CF,-5280BA,DFAA05,A2ABB0,-58E0,-2243DC,
0:00:03,0.00,7E55CB,-52C743,DFA9FA,A2ADA3,-55220,AFE75,
0:00:04,0.00,7E566F,-52ADDD,DFAA05,A2B2D9,AB10D,2130BA,
0:00:05,0.00,7E5776,-52C878,DFAA02,A2B65D,-6BCFC,-D7A69,
0:00:07,0.00,7E5A75,-528D93,DFAA03,A2B471,3345F7,-2128B2,
0:00:08,0.00,7E59A4,-529ED2,DFAA06,A2AEA4,2C4F98,16FD39,
0:00:09,0.00,7E5E90,-52C65A,DFAA07,A2A649,1CAA5F,-177649,
0:00:10,0.00,7E5C33,-528C40,DFAA0E,A2A0FF,A21CD,-2BF522,
0:00:11,0.00,7E5E88,-52D3DE,DFA9FF,A2A3E9,-83821,-82DEF,
0:00:13,0.00,7E5E04,-52CD6F,DFAA08,A2A554,36744D,AB349,
0:00:14,0.00,7E5C76,-52A94F,DFA9E6,A2A69C,A1F87,-25BA2D,
0:00:15,0.00,7E5C42,-529FBC,DFA9FB,A2A5FB,-15AC01,10E37C,
0:00:16,0.00,7E5D3F,-52C2DC,DFA9F9,A2A32B,-1D70C,-214CCD,
0:00:17,0.00,7E5F53,-528A51,DFA9FB,A2A875,-A78E5,-244F88,
0:00:18,0.00,7E60C9,-52C14E,DFAA07,A2A81C,386DA6,-69C6B,
