TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:02,0.00,-27D854,25,-C8381C,77,278F7E,136,
0:00:03,0.00,-3979CD,0,72EA73,53,394A7F,25ED,
0:00:04,0.00,-1EBBEA,1,8D0F47,62,27E295,E4,
0:00:05,0.00,-225F1D,-21,-BB2356,61,5DA508,5EF3,
0:00:07,0.00,-3A4BA7,-1D,84CAD0,62,59AD03,126FB,
0:00:08,0.00,-26A8D7,B,C14816,67,349969,136,
0:00:09,0.00,-251EA0,1E,73D7A6,58,272E9D,FD,
0:00:10,0.00,-8FFAF,D,-C02FA5,4B,374147,D8B,
0:00:11,0.00,-1CDB5F,-B,D6C6F9,5A,2A5D1A,119,
0:00:12,0.00,-31DA21,-3D,71D76C,77,60DC85,213,
0:00:14,0.00,-3B8971,18,855E05,67,54179F,8570,
0:00:15,0.00,-1D61F8,0,-6C1877,62,2C7683,136,
0:00:16,0.00,-2CC8E4,-30,-B06E45,5E,426BF4,1FA,
0:00:17,0.00,-1C5C5C,-6,-1CA3F9,42,33E883,176,
0:00:18,0.00,-2A3B34,-D,-A1794E,50,270376,155,
0:00:19,0.00,-242C60,6,9D0D54,59,4B2217,F20E,
0:00:21,0.00,-8F789,-7,-BE48D4,5E,40CCA4,136D,
0:00:22,0.00,53D72,F,-3C426E,61,EE66A,3AD3,
0:00:23,0.00,-F0DC8,B,7995CE,74,5E83ED,CBC,
0:00:24,0.00,-BAC1A,6,-10321B,64,2B7B27,1D1,
0:00:25,0.00,-190935,-15,-54D34,6C,280761,1AB,
0:00:26,0.00,-22DFA2,-3,-3D4C96,58,3D82BF,5D4C,
0:00:27,0.00,72707,3,B7CB93,53,274ADE,C1,
0:00:28,0.00,-7DDDD,13,-A4A2BB,66,3D811A,-25DC,
0:00:29,0.00,-1BBFF2,26,DD9B9F,41,2DB4D1,119,
0:00:31,0.00,-1C83DF,-A,858496,5B,272556,E4,
0:00:32,0.00,-B8816,F,-BA6AE0,5C,5B25EA,90ED,
0:00:33,0.00,1676E0,9,-5B699B,75,2FE6E5,A5F,
0:00:34,0.00,-B84B5,C,1698A8,69,2D23F0,145,
0:00:35,0.00,275DAC,20,AD5E51,56,2BB349,-6426,
0:00:36,0.00,27EAAD,F,-C26304,5E,450C5D,8BEC,
0:00:37,0.00,25953E,17,-615BEF,47,2FDC73,127,
0:00:39,0.00,32AAF,-12,DFA79E,6C,3525E4,-1,
0:00:40,0.00,3F027,20,DFA7A0,63,3A280B,1D1,
0:00:41,0.00,-4CD40,14,DFA79E,5D,496414,103EC,
0:00:42,0.00,A8C13,F,DFA7B2,50,2A4EDD,CC,
0:00:43,0.00,212503,-1B,DFA7AB,5E,57E70E,1612B,
0:00:45,0.00,4D1C,2,DFA7BA,54,579683,354,
