TIME,ALT,V1G,V2G,V12,CALV,IMON,TEMP
0:00:02,0.00,958EA6,-D2A543,DF8C4F,5DEED0,1F99F,48619,
0:00:03,0.00,958DA7,-D2A574,DF8B97,5DECF7,-D247C,-8920A,
0:00:04,0.00,958CC4,-D2A7A2,DF8B3E,5DF0D9,-38B59,-377B5,
0:00:05,0.00,958C1D,-D2A635,DF8A18,5DEEA2,-44EF3,-3C083,
0:00:06,0.00,958A68,-D2A7AE,DF8B2D,5DEF4C,-33E6C,-131DAD,
0:00:08,0.00,958D7D,-D2A578,DF8BB5,5DEF30,-522C9,52F59,
0:00:09,0.00,958E7C,-D2A48E,DF8A6D,5DEE2F,227F5,-C2DAF,
0:00:10,0.00,958FA1,-D2A2BB,DF8C50,5DE9F4,496DA,-E9E29,
0:00:11,0.00,95909B,-D2A3EB,DF8B3E,5DEEA5,7D4E0,2416A,
0:00:12,0.00,958F01,-D2A47B,DF8B9F,5DED89,9E7AC,5349D,
0:00:13,0.00,958FEF,-D2A47D,DF8AEE,5DEF21,-33D9A,-9D1C6,
0:00:15,0.00,958B76,-D2A4DB,DF8B4A,5DEB84,-5F079,-A9495,
0:00:16,0.00,958896,-D2A432,DF8A8E,5DEA44,4925C,-73804,
0:00:17,0.00,958CC6,-D2A452,DF8A5B,5DE70F,-60E1D,-F5670,
0:00:18,0.00,958DDE,-D2A47F,DF8C84,5DE97B,-13E42,-2A143,
0:00:19,0.00,958DBE,-D2A400,DF8B38,5DE889,-7CF16,A02A4,
0:00:20,0.00,958DE8,-D2A381,DF8A90,5DEA82,A43D0,A84AB,
0:00:22,0.00,958838,-D2A555,DF8ABC,5DEA9C,25542,-23CEA,
0:00:23,0.00,958F01,-D2A62E,DF8B81,5DEBA1,-7ED02,-8087A,
0:00:24,0.00,958E46,-D2A5CE,DF8C47,5DEFA1,-741C3,-9B59E,
0:00:25,0.00,9590AB,-D2A4B6,DF8AE7,5DEFA7,-48297,-5EBBE,
0:00:26,0.00,958FED,-D2A15F,DF8A22,5DEEF9,BB6CF,C94D,
0:00:27,0.00,958BDE,-D29E62,DF89F5,5DECBD,9C0A8,2EEAB,
0:00:29,0.00,95881E,-D29D7C,DF8BEF,5DF008,24F0,-6694B,
0:00:30,0.00,958BB4,-D29B72,DF8BDB,5DEA23,-45B09,-D99C4,
0:00:31,0.00,958AEF,-D29E0D,DF8C0B,5DE8C8,-23A06,3B64E,
0:00:32,0.00,958C80,-D29CCF,DF8B80,5DECD2,-5D3C,-D99DC,
0:00:33,0.00,958EED,-D29C90,DF8CB3,5DEA19,-BBF72,-53493,
0:00:34,0.00,958A5D,-D29B36,DF8C97,5DE76E,-D21A0,-12720,
0:00:36,0.00,958F7E,-D29BD0,DF8C07,5DE753,-8BBE2,7632D,
0:00:37,0.00,95908E,-D29B99,DF8A10,5DE55D,BE75D,39F23,
0:00:38,0.00,958A5A,-D29D38,DF8C6D,5DE79F,-A0EDA,8C847,
0:00:39,0.00,959250,-76394A,DF8EC0,5E13B7,1357C6,6BE4,
0:00:40,0.00,959283,-656119,DF8D24,5E0FFA,B330,-56293,
0:00:41,0.00,958B0F,-64A481,DF8EA9,5E0BF7,-26318,6C2C0,
0:00:43,0.00,9585D7,-649CB8,DF8F4C,5E12E0,15FDD7,A3A4A,
0:00:44,0.00,95A637,-648FE2,DF8ECC,5E0CDD,-35F58,95287,
0:00:45,0.00,715FCA,-648E3E,DF8E5A,5E1134,-34AE2,1B3E8F,
0:00:46,0.00,715839,-648C87,DF8EFF,5E0F80,6941E,6DC17,
0:00:47,0.00,715805,-648ACE,DF8E58,5E0DAF,-554F6,8C9C,
0:00:48,0.00,7155E5,-648950,DF8E55,5E0BBF,99068,A779,
0:00:50,0.00,715892,-6485C7,DF8E50,5E0E6D,-AC0EC,-3F243,
0:00:51,0.00,715661,-64832B,DF8E2F,5E0B28,2A9C0,-EB6DB,
0:00:52,0.00,71570A,-64817C,DF8EDF,5E0F62,-CCD4,-D31B5,
0:00:53,0.00,715567,-6481A7,DF8D30,5E0FE9,-A6482,-CB15,
0:00:54,0.00,7151E1,-647F8F,DF8DE9,5E0E2F,-DF8C8,-7C3D8,
0:00:55,0.00,71564F,-647D77,DF8F31,5E0DB5,-22DC6,-3550A,
0:00:57,0.00,7156E9,-647E7E,DF8E98,5E0D1C,1A8AAC,-F6212,
0:00:58,0.00,71565C,-647B3F,DF8F0F,5E0CDE,-7ABFB,-29D00,
0:00:59,0.00,7156C5,-647A76,DF8EFC,5E0B41,1830B6,-76B92,
0:01:00,0.00,7151EB,-647774,DF8F6D,5E0C66,-78314,-AC8D7,
0:01:01,0.00,7154FB,-64763D,DF8F46,5E0E36,-1B259C,-107F4A,
